RT,PL,HC,DEG
0.002324424,88.54416491,5,87.38826014
0.018937088,75.14876602,6,73.48807935
0.006428086,112.4306059,7,109.2268165
0.020294765,115.4202325,10,113.8508254
0.00618886,112.1259217,6,108.9697091
0.002586259,48.0416486,1,47.14560579
0.003851308,77.35034094,4,76.0573112
0.019034821,93.52448763,4,91.72681811
0.014374668,68.17939586,4,66.98767937
0.021145546,98.70155523,8,97.0915657
0.002437472,73.94619356,3,72.18829453
0.097619234,132.4750377,12,128.597667
0.008468429,82.04399376,6,79.92969307
0.011666609,97.17363888,9,96.3500249
0.113301619,113.4172266,10,110.3010891
0.005801943,59.26662076,2,58.12546975
0.479458899,115.0195645,15,112.5944074
0.043493054,113.1648892,8,111.5049814
0.022363188,112.6012083,8,109.2931032
0.004315537,61.91209478,3,59.87219973
0.036624808,107.1623469,7,104.8202561
0.028855092,102.0065139,9,100.4756675
0.016609018,102.1169368,7,100.0218228
0.213888195,69.58558961,8,68.13054408
0.008254366,93.96056726,7,92.82762929
0.01477435,95.72904144,6,93.7498835
0.088429847,97.03103843,6,94.88510685
0.240634385,103.0867159,13,100.6800064
0.230448347,68.17408554,8,66.56517605
0.101113528,74.67427758,8,72.66554834
0.220774674,151.4437021,15,147.7015017
0.00627237,93.78262031,7,92.82019689
0.010081741,102.4843565,5,100.1582981
0.049577618,110.7685154,11,107.6476396
0.006010171,83.60312924,5,82.34746432
0.023967019,96.76756136,7,95.59092329
1.639665085,119.4259461,17,116.6329079
0.10322243,90.45001424,9,87.79267125
0.017579412,103.9869466,6,102.7616102
0.016122545,65.40394009,4,64.24523468
0.085916523,88.28708753,7,85.77421098
0.041293713,97.57200428,12,94.17522844
0.00225623,69.76720958,2,68.59962972
0.039397415,99.97720941,8,98.46633038
0.050133379,107.6640716,10,104.6011485
0.005261133,85.38263978,3,84.14406805
0.107076291,104.4280607,10,102.3476115
0.012226746,91.21410263,7,88.88362561
0.102980288,86.03919587,12,84.33506418
0.014030782,75.74400006,4,73.14825471
0.010612705,85.47897824,6,84.05135101
0.038112673,100.6861819,6,98.71297805
0.012542917,98.76845493,6,97.36083708
0.056220131,108.0067651,11,105.3538421
0.003935548,60.41096547,2,59.25915562
0.001814247,71.27620866,3,70.02907377
0.007189522,109.3891327,6,105.573972
0.036852729,102.827464,9,100.0701982
0.006980565,96.85700596,6,94.30227267
0.082452861,85.57770621,6,82.84144659
0.017224221,119.8943056,14,117.2863804
0.020671837,85.8753992,8,84.90099648
0.004673645,79.68441139,5,77.64639274
0.427722418,132.8723783,12,127.9653881
0.274977436,98.35174897,8,95.48341661
0.011021503,108.4026113,7,106.7168818
0.026171101,94.92985866,5,93.19195393
0.090790009,96.00000484,12,94.6531814
0.130550273,99.2403859,10,97.97892916
0.000940491,94.12852309,2,92.57528459
0.01183217,94.9627709,5,93.66796718
0.042102557,92.50377451,9,90.97698488
0.602304731,121.9189884,12,117.7009568
0.017463081,77.63090465,5,76.63409694
0.145112383,116.305181,12,113.5021455
0.041159149,103.4223766,8,101.085327
0.026888047,97.04001056,10,95.18808221
0.011232648,156.8737373,11,151.2892749
0.013670485,103.752722,10,102.0881269
0.386521697,80.13465728,10,77.79706626
0.011448899,89.42478215,8,88.41352914
0.012746769,108.5152069,8,105.1525955
0.012998029,78.97302078,5,77.88302698
0.025730941,119.1696462,10,117.2527184
0.263327602,92.67333705,9,90.61764635
0.03129767,117.1474785,7,112.1257666
0.207423642,115.0078506,6,109.8153795
0.021778253,92.8743922,5,89.28765681
0.015268846,102.2582354,9,99.69605429
0.025372832,105.4853531,7,103.2236546
0.049751567,76.33055801,5,75.06265999
0.089233221,106.1802277,8,103.6801032
0.020092736,111.7161668,7,109.2444039
0.014036981,99.08009007,4,96.944
0.007051676,73.09534579,4,70.89833217
0.065662237,87.94000334,8,85.96797958
0.022053581,117.1197119,8,114.1526736
0.003903821,105.2405057,6,101.2959312
0.036107338,97.23638072,9,94.64173093
0.016275707,117.1650005,9,112.7764275
0.04718026,116.2844666,11,113.0105996
0.023798176,127.6167551,11,124.8722856
0.001334702,89.65323839,3,88.57344644
0.069338502,98.53294108,8,96.06590871
0.072391177,70.32484695,7,68.88119181
0.033195062,80.62107536,6,78.26170474
0.018030877,96.74713121,6,94.96506032
0.030970193,88.16889083,8,86.82475512
0.011387999,88.9217517,8,87.63878492
0.024373994,96.13060976,11,94.46343224
0.021517877,153.7964918,11,148.2386216
0.025946462,89.0186115,5,85.52507099
0.005125475,95.2451473,7,93.99598415
0.061741276,114.5576532,12,110.269459
0.003793325,104.7938697,8,102.865967
0.019767448,107.225321,11,104.030951
0.226573699,112.5935744,11,109.8801852
0.011910575,114.6047607,7,111.971306
0.207021043,61.31956547,6,59.25519241
0.054543001,125.521399,8,122.8233155
0.012680399,105.6173644,5,102.6508931
0.028027649,119.5878558,7,115.9180488
0.020818435,92.79430058,6,90.59087757
0.014604048,103.4489263,5,101.6271098
0.032138969,69.16617503,5,67.27673495
0.009538379,92.00122387,8,90.78637876
0.052913279,85.19927087,10,83.29430332
0.043648769,123.3283361,9,120.1839076
0.00441254,107.8690754,5,105.9837444
0.004103662,91.70473324,6,88.45085389
0.039961199,107.108018,8,104.9785331
0.010800876,115.1190298,8,112.1554092
0.004443901,101.1807023,6,98.87052821
0.002359797,79.49001898,2,78.22435686
0.014937358,81.48930954,5,79.50228778
0.164431648,99.01448928,9,95.55477267
0.064337745,111.2224873,12,107.926268
