RT,PL,HC,DEG
0.103684471,67.74106664,3,65.19440549
0.103874465,108.5741899,10,105.0437904
0.103533861,85.68831381,8,82.92468371
0.104988905,94.89197012,7,92.05661241
0.104230386,90.32042304,6,87.42748877
0.104451377,69.79782262,5,67.23665604
0.104572449,106.4865709,8,104.0758447
0.103545895,81.24516546,7,78.85709331
0.103728961,106.0283679,8,101.8893841
0.103932448,104.6145907,5,101.2596144
0.10405279,105.7726588,9,102.706658
0.104406887,105.8837395,6,103.0083311
0.104295297,93.46442757,7,90.85742271
0.103995901,76.70840841,5,74.36504114
0.103689941,95.59403752,9,93.02888622
0.104274146,105.4212797,7,101.9004327
0.104445178,99.64836426,9,97.06030158
0.104841942,97.54488637,8,95.3270288
0.104235856,100.6030968,8,97.99583284
0.103366476,96.87590534,5,94.06602558
0.103418989,116.4812726,10,112.6056841
0.103714009,100.1209434,7,96.97511727
0.103715103,106.0784827,9,102.6077572
0.103832528,96.15597937,7,93.62065445
0.103427012,54.88634952,4,52.75240625
0.104009759,85.125933,7,82.71094737
0.103783662,80.79810363,8,78.24004929
0.104155263,110.5606013,10,107.1639322
0.104229292,117.2348138,8,112.8308271
0.104785782,109.9711306,7,106.5808576
0.10442658,87.44088253,5,85.00658943
0.104443719,118.9383707,10,115.5013282
0.103909474,77.48548801,9,75.10298756
0.104031639,117.3292883,11,112.7365744
0.103530943,102.761609,5,99.91180273
0.104541451,91.95615406,9,89.52883934
0.204318454,109.2891603,10,105.1375205
0.10470993,98.81335236,9,96.07536897
0.104162921,85.56654249,6,83.31299341
0.103719844,116.6204756,7,112.1361073
0.103839456,98.38704783,13,95.58386312
0.10460454,89.72626172,4,87.16544332
0.103716197,79.08445435,6,76.79458592
0.104368597,64.47213595,6,61.96827841
0.103657485,114.7755847,10,111.6833595
0.103736254,98.94656389,8,95.70513866
0.103646909,93.29419824,7,90.26036
0.103528026,90.30628759,8,87.70377072
0.104066283,86.85498646,3,84.38006014
0.10404112,102.0766178,10,99.559887
0.103743912,119.9236924,10,115.7155779
0.104487845,83.50559927,7,81.10418519
0.10392479,96.87673343,6,94.46040651
0.10511727,85.71395421,3,82.94736601
0.103862796,92.76258532,5,90.20791056
0.104963742,107.7125588,8,105.1462115
0.104737645,97.78137278,8,94.64683305
0.104890808,131.4042962,11,127.4550278
0.104096186,87.17910347,8,84.62532436
0.103716926,96.72267946,11,93.96470568
0.104196836,94.09147615,6,91.3725396
0.103771992,80.45257573,6,77.87114242
0.104190272,106.9644946,8,102.457118
0.104430956,107.5089652,7,104.0370568
0.104232574,97.01097863,9,94.59360519
0.103942659,62.20586816,5,59.79353868
0.104453201,78.76464078,7,76.20949136
0.104754785,99.60119606,5,96.68836061
0.103431023,100.9555675,7,97.46008886
0.104058989,93.1489433,7,90.4761948
0.10414797,114.6826724,9,110.854246
0.205424506,109.6624532,11,105.4966707
0.104166933,96.93554617,7,93.66187403
0.103937553,112.7468071,7,108.6219051
0.205627629,129.6071916,15,124.2428539
0.309180088,77.93341811,10,75.33996301
0.104976506,88.5425497,5,86.10369399
0.104518477,107.5487952,6,104.1924786
0.103813929,105.9312207,9,102.6717689
0.104048414,111.75026,8,106.8469118
0.103918955,95.96670924,6,92.9194324
0.104224551,98.89384804,13,96.44650857
0.103934271,95.53896965,8,93.19325998
0.103781838,63.99851445,5,61.54579816
0.104680392,70.81813537,4,68.44976059
0.104728893,82.9161426,6,80.22109012
0.103224618,103.7519345,8,99.59636179
0.20559262,109.8342807,11,106.9377463
0.103408049,77.98329263,6,75.66757888
0.103576163,94.1348411,7,91.30274193
0.104807663,88.16575742,8,85.72839365
0.104154898,75.39191744,5,72.89871387
0.103834351,115.9412572,11,112.7676259
0.104495138,104.4726107,13,101.8237046
0.104463047,93.81800868,7,91.677161
0.103601325,113.0909561,8,109.0704088
0.1042643,94.96698278,10,92.6874073
0.104358021,98.11482178,8,94.02027485
0.103725679,102.785341,6,99.42472493
0.104059719,83.44167463,6,81.21540806
0.104028722,91.38375224,7,89.08352705
0.104312072,82.02477467,5,79.55303882
0.104562238,106.5155629,5,103.1787375
0.104422933,61.38905042,6,58.97209871
0.104749315,93.52652827,5,90.68171921
0.104567343,96.49290719,9,93.98843661
0.103380334,107.0024987,12,104.135735
0.104009394,103.4828978,8,98.9074487
0.104332129,86.38569484,6,84.03881444
0.104352551,97.44242604,9,94.0529994
0.104462317,102.0660372,8,99.37445086
0.104170944,127.6627784,11,123.83999
0.103255616,57.73304407,4,55.38541284
0.103711456,96.67968529,9,93.09355318
0.103683012,123.6156399,8,120.0129026
0.103835445,85.01889023,8,82.83061037
0.103232276,49.41421356,2,47.68193548
0.103976209,103.0468104,7,100.3793206
0.104845953,77.86764298,5,75.40657569
0.103864619,108.5099343,8,104.6050101
0.104661793,113.5386687,9,110.2783123
0.104480551,85.66632037,7,81.86363076
0.103811377,121.1692895,11,115.336159
0.10346749,85.53484046,12,82.10367536
0.104438978,83.08358073,5,80.84856521
0.103909838,99.77458595,6,96.92796172
0.103827422,102.4949026,13,99.40991753
0.104597611,85.3539173,4,83.14822397
0.103861337,99.88657069,7,96.9597968
0.104039662,90.54581717,6,87.80069118
0.104302226,115.0502738,9,111.9153404
0.104043309,72.45058052,4,69.67917389
0.104366044,109.0526151,8,105.7339439
0.104156722,110.9269792,11,107.0249136
